Rk,Player,Day,G#,Week,Date,Age,Team,N,Opp,Result,Pos.,Player-additional
1,Steve Young,Sun,3,20,1990-01-28,28-109,SFO,N,DEN,W 55-10,QB,YounSt00
2,Steve Young,Sun,3,21,1995-01-29,33-110,SFO,N,SDG,W 49-26,QB,YounSt00
3,Sam Wyche,Sun,3,17,1973-01-14,28-009,WAS,N,MIA,L 7-14,QB,WychSa00
4,David Woodley,Sun,4,21,1983-01-30,24-097,MIA,N,WAS,L 17-27,QB,WoodDa00
5,Russell Wilson,Sun,3,21,2014-02-02,25-065,SEA,N,DEN,W 43-8,QB,WilsRu00
6,Russell Wilson,Sun,3,21,2015-02-01,26-064,SEA,N,NWE,L 24-28,QB,WilsRu00
7,Marc Wilson,Sun,3,20,1984-01-22,26-341,RAI,N,WAS,W 38-9,QB,WilsMa00
8,Doug Williams,Sun,3,20,1988-01-31,32-175,WAS,N,DEN,W 42-10,QB,WillDo01
9,Norris Weese,Sun,3,17,1978-01-15,26-156,DEN,N,DAL,L 10-27,QB,WeesNo00
10,Joe Webb,Sun,3,21,2016-02-07,29-085,CAR,N,DEN,L 10-24,QB,WebbJo00
11,Kurt Warner,Sun,3,21,2000-01-30,28-222,STL,N,TEN,W 23-16,QB,WarnKu00
12,Kurt Warner,Sun,3,21,2002-02-03,30-226,STL,N,NWE,L 17-20,QB,WarnKu00
13,Kurt Warner,Sun,4,21,2009-02-01,37-224,ARI,N,PIT,L 23-27,QB,WarnKu00
14,Seneca Wallace,Sun,3,21,2006-02-05,25-183,SEA,N,PIT,L 10-21,QB,WallSe00
15,Johnny Unitas,Sun,3,18,1969-01-12,35-250,BAL,N,NYJ,L 7-16,QB,UnitJo00
16,Johnny Unitas,Sun,3,17,1971-01-17,37-255,BAL,N,DAL,W 16-13,QB,UnitJo00
17,Mike Tomczak,Sun,3,20,1986-01-26,23-095,CHI,N,NWE,W 46-10,QB,TomcMi00
18,Joe Theismann,Sun,4,21,1983-01-30,33-143,WAS,N,MIA,W 27-17,QB,TheiJo00
19,Joe Theismann,Sun,3,20,1984-01-22,34-135,WAS,N,RAI,L 9-38,QB,TheiJo00
20,Fran Tarkenton,Sun,3,17,1974-01-13,33-344,MIN,N,MIA,L 7-24,QB,TarkFr00
21,Fran Tarkenton,Sun,3,17,1975-01-12,34-343,MIN,N,PIT,L 6-16,QB,TarkFr00
22,Fran Tarkenton,Sun,3,17,1977-01-09,36-341,MIN,N,OAK,L 14-32,QB,TarkFr00
23,Don Strock,Sun,4,21,1983-01-30,32-064,MIA,N,WAS,L 17-27,QB,StroDo00
24,Don Strock,Sun,3,20,1985-01-20,34-054,MIA,N,SFO,L 16-38,QB,StroDo00
25,Kordell Stewart,Sun,3,21,1996-01-28,23-104,PIT,N,DAL,L 17-27,QB,StewKo00
26,Roger Staubach,Sun,3,17,1972-01-16,29-345,DAL,N,MIA,W 24-3,QB,StauRo00
27,Roger Staubach,Sun,3,17,1976-01-18,33-347,DAL,N,PIT,L 17-21,QB,StauRo00
28,Roger Staubach,Sun,3,17,1978-01-15,35-344,DAL,N,DEN,W 27-10,QB,StauRo00
29,Roger Staubach,Sun,3,20,1979-01-21,36-350,DAL,N,PIT,L 31-35,QB,StauRo00
